Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Population,Latitude,Longitude,Elevation (m),Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,City Generator Link
154,Morgis,Joria,Joria Prefecture,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,18125,-14.35,58.42,36,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Morgis&population=18125&size=39&seed=6656582340154&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
155,Milbore,Altonland,Altonland State,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,17869,-38.58,-109.72,36,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Milbore&population=17869&size=39&seed=6656582340155&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.55
156,Horchecil,Uperiobia,Uperiobia Deanery,Luzboria,Exarchate of Luzboria,Astellian,Horchecilian Religion,39788,-42.83,-54.89,36,,port,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Horchecil&population=39788&size=52&seed=6656582340156&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1&sea=0.66
157,Pieksa,Siunkimatmaa,Siunkimatmaa County,Torvia,Torvian Empire,Soumi,Soumi Deities,2540,42.08,-72.2,100,,,citadel,,,,,https://watabou.github.io/city-generator?name=Pieksa&population=2540&size=18&seed=6656582340157&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
158,Arano,Taria,Taria Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,10265,-5.85,102.83,289,,,,,plaza,,,https://watabou.github.io/city-generator?name=Arano&population=10265&size=31&seed=6656582340158&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
159,Coentralha,Guiba,Guiba Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,1670,-19.08,81.8,441,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Coentralha&population=1670&size=16&seed=6656582340159&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
160,Sobraradil,Sobraradil,Sobraradil Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,14954,-21.31,93.62,64,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Sobraradil&population=14954&size=36&seed=6656582340160&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
161,Soleringmo,Craftford,Craftford Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,10294,28.66,-131.06,144,,,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Soleringmo&population=10294&size=31&seed=6656582340161&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
162,Cistelli,Farcerevigni,Farcerevigni Clan,Castricia,Castrician Empire,Tallian,Tallian Gods,7831,23.22,-26.55,9,,,citadel,,,,,https://watabou.github.io/city-generator?name=Cistelli&population=7831&size=28&seed=6656582340162&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
163,Ernoy,Encesones,Encesones County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,17028,15.82,39.86,16,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Ernoy&population=17028&size=38&seed=6656582340163&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
164,Montedi,Cotritavia,Cotritavia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,7753,9.32,-32.01,100,,,,,plaza,,,https://watabou.github.io/city-generator?name=Montedi&population=7753&size=28&seed=6656582340164&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
165,Pattanone,Segterra,Segterra Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,22983,1.33,-41.53,256,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Pattanone&population=22983&size=42&seed=6656582340165&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
166,Doberheimin,Witzen,Witzen County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,15969,-1.63,111.64,729,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Doberheimin&population=15969&size=37&seed=6656582340166&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
167,Spiglia,Mordeterra,Mordeterra County,Castricia,Castrician Empire,Tallian,Tallian Gods,8085,-2.49,-49.64,81,,,,,,,,https://watabou.github.io/city-generator?name=Spiglia&population=8085&size=29&seed=6656582340167&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
168,Manes,Honca,Honca Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,2578,-11.15,-37.73,169,,,citadel,,,temple,,https://watabou.github.io/city-generator?name=Manes&population=2578&size=19&seed=6656582340168&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
169,Arzocados,Contoria,Contoria Dependency,Luzboria,Exarchate of Luzboria,Astellian,Horchecilian Religion,12013,-36.6,-57.88,441,,,citadel,walls,,temple,,https://watabou.github.io/city-generator?name=Arzocados&population=12013&size=33&seed=6656582340169&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
170,Romana,Ilmendria,Ilmendria Territory,Torta,Kingdom of Torta,Astellian,Astellian Spirits,3809,-5.68,-73.71,1024,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Romana&population=3809&size=21&seed=6656582340170&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
171,Kaparinen,Kumara,Kumara Territory,Torvia,Torvian Empire,Soumi,Soumi Deities,1803,47.3,-87.69,49,,,citadel,,,,,https://watabou.github.io/city-generator?name=Kaparinen&population=1803&size=16&seed=6656582340171&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
172,Cinanelvie,Vaikmaa,Vaikmaa Land,Castricia,Castrician Empire,Tallian,Tallian Gods,4739,31.93,-22.2,81,,port,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Cinanelvie&population=4739&size=23&seed=6656582340172&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1&sea=1.29
173,Brisessonvil,Auvilly,Auvilly Land,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,2582,29.62,59.54,9,,port,citadel,,,,,https://watabou.github.io/city-generator?name=Brisessonvil&population=2582&size=19&seed=6656582340173&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.79
174,Panvillevil,Panvillevil,Panvillevil Territory,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,1655,23.2,53.88,16,,,citadel,,,,,https://watabou.github.io/city-generator?name=Panvillevil&population=1655&size=16&seed=6656582340174&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
175,Totford,Bethererid,Bethererid Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,1817,18.49,-127.08,25,,,,walls,,temple,,https://watabou.github.io/city-generator?name=Totford&population=1817&size=16&seed=6656582340175&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
176,Felton,Midgewenia,Midgewenia Territory,Chichet,Chichetian Theocracy,Angshire,Ostowleighian Faith,1873,-14.25,-117.03,81,,,,,plaza,temple,,https://watabou.github.io/city-generator?name=Felton&population=1873&size=16&seed=6656582340176&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
177,Maresterham,Retletownia,Retletownia Territory,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,11829,-18.89,-101.56,484,,,,,,,,https://watabou.github.io/city-generator?name=Maresterham&population=11829&size=33&seed=6656582340177&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
178,Yuniavin,Tersun,Tersun Deanery,Luzboria,Exarchate of Luzboria,Slovan,Horchecilian Religion,3091,-45.75,-58.34,121,,,citadel,walls,,temple,,https://watabou.github.io/city-generator?name=Yuniavin&population=3091&size=20&seed=6656582340178&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=1&walls=1&shantytown=0&gates=-1
179,Lauberg,Ettenweben,Ettenweben County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,4676,13.86,111.15,9,,,,,,,,https://watabou.github.io/city-generator?name=Lauberg&population=4676&size=23&seed=6656582340179&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
180,Ostowleigh,Midgewenia,Midgewenia Territory,Chichet,Chichetian Theocracy,Angshire,Ostowleighian Faith,3492,-9.94,-113.11,1600,,,citadel,,plaza,temple,,https://watabou.github.io/city-generator?name=Ostowleigh&population=3492&size=21&seed=6656582340180&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
181,Montcon,Montcon,Montcon Prefecture,Chueles,Chuelesian Oligarchy,Luari,Luari Shamanism,30345,-10.76,55.2,16,,,citadel,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Montcon&population=30345&size=47&seed=6656582340181&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
182,Torde,Nurilaga,Nurilaga Region,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,12071,-12.2,-33.69,441,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Torde&population=12071&size=33&seed=6656582340182&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
183,Harenau,Lostetland,Lostetland County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,6084,-19.32,130.17,9,,,,,plaza,,,https://watabou.github.io/city-generator?name=Harenau&population=6084&size=26&seed=6656582340183&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
184,Causterbot,Burhamland,Burhamland Council,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,12698,-19.86,-109.74,36,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Causterbot&population=12698&size=34&seed=6656582340184&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
185,Trilnuerin,Miquejon,Miquejon Landgrave,Alcoria,Grand Duchy of Alcoria,Astellian,Astellian Spirits,1768,-34.2,-23.17,196,,,,,,,,https://watabou.github.io/city-generator?name=Trilnuerin&population=1768&size=16&seed=6656582340185&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
186,Molensk,Kodino,Kodino Province,Modets,United Provinces of Modets,Slovan,Slovan Spirits,4889,-41.1,-90.22,100,,,citadel,,,,,https://watabou.github.io/city-generator?name=Molensk&population=4889&size=24&seed=6656582340186&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
187,Flarasver,Straugaria,Straugaria Barony,Flostia,Principality of Flostia,Norse,Norse Ancestors,2452,43.64,-96.41,100,,,citadel,,,,,https://watabou.github.io/city-generator?name=Flarasver&population=2452&size=18&seed=6656582340187&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
188,Mamovegudia,Manocequia,Manocequia Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,13037,-12.31,-35.3,144,,,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Mamovegudia&population=13037&size=34&seed=6656582340188&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
189,Palcourin,Fana,Fana Prefecture,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,13611,-16.11,62.29,36,,port,citadel,walls,,,,https://watabou.github.io/city-generator?name=Palcourin&population=13611&size=35&seed=6656582340189&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1&sea=0.97
190,Pinheiramar,Sobraradil,Sobraradil Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,4643,-23.95,89.81,196,,,,walls,,,,https://watabou.github.io/city-generator?name=Pinheiramar&population=4643&size=23&seed=6656582340190&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
191,Sinderoirao,Freiralinia,Freiralinia Earldom,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,1587,9.72,92.09,1296,,,citadel,,,,,https://watabou.github.io/city-generator?name=Sinderoirao&population=1587&size=15&seed=6656582340191&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
192,Morcy,Villefit,Villefit Landgrave,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,2003,-7.62,29.43,9,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Morcy&population=2003&size=17&seed=6656582340192&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
193,Tresoliver,Wodmouth,Wodmouth Region,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,5696,-44.16,-109.83,36,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Tresoliver&population=5696&size=25&seed=6656582340193&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
194,Birzar,Steiberach,Steiberach County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,3822,16.26,101.62,100,,,citadel,,,,,https://watabou.github.io/city-generator?name=Birzar&population=3822&size=22&seed=6656582340194&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
195,Schopold,Biedenkirch,Biedenkirch County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1707,13.08,115.99,121,,,citadel,,,,,https://watabou.github.io/city-generator?name=Schopold&population=1707&size=16&seed=6656582340195&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
196,Neutengen,Neutengen,Neutengen Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,13624,5.12,128.38,9,,port,,,,,,https://watabou.github.io/city-generator?name=Neutengen&population=13624&size=35&seed=6656582340196&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=1.92
197,Tranhaces,Riria,Riria Territory,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,12606,-13.61,91.59,900,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Tranhaces&population=12606&size=34&seed=6656582340197&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
198,Lurytesto,Burhamland,Burhamland Council,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,19278,-16.49,-108.73,1296,,,,,plaza,,,https://watabou.github.io/city-generator?name=Lurytesto&population=19278&size=40&seed=6656582340198&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
199,Picker,Bamburgh,Bamburgh Territory,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,3707,-35.1,-110.84,25,,,citadel,,,,,https://watabou.github.io/city-generator?name=Picker&population=3707&size=21&seed=6656582340199&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
200,Kineseyme,Skipland,Skipland Canton,Modets,United Provinces of Modets,Angshire,Old Angshire Beliefs,13542,-35.14,-95.83,256,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Kineseyme&population=13542&size=35&seed=6656582340200&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
201,Petta,Vaikmaa,Vaikmaa Land,Castricia,Castrician Empire,Tallian,Tallian Gods,8832,33.31,-21.42,9,,,,,,,,https://watabou.github.io/city-generator?name=Petta&population=8832&size=30&seed=6656582340201&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
202,Utsvograv,Hoyavland,Hoyavland Region,Flostia,Principality of Flostia,Norse,Norse Ancestors,1681,32.42,-107.33,625,,,citadel,,,,,https://watabou.github.io/city-generator?name=Utsvograv&population=1681&size=16&seed=6656582340202&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
203,Colletovia,Bortero,Bortero Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,1674,26.17,-37.45,400,,,,,,,,https://watabou.github.io/city-generator?name=Colletovia&population=1674&size=16&seed=6656582340203&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
204,Ouzonne,Ouzonne,Ouzonne County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,15877,19.69,43.14,36,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Ouzonne&population=15877&size=37&seed=6656582340204&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
205,Trilerheim,Biedenkirch,Biedenkirch County,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1745,15.08,116.5,36,,,citadel,,,,,https://watabou.github.io/city-generator?name=Trilerheim&population=1745&size=16&seed=6656582340205&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
206,Selfach,Enztalheim,Enztalheim Region,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,4163,-19.06,108.06,16,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Selfach&population=4163&size=22&seed=6656582340206&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
207,Schoberbach,Wienaubenia,Wienaubenia Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,2967,-19.28,114.78,144,,port,,,,,,https://watabou.github.io/city-generator?name=Schoberbach&population=2967&size=20&seed=6656582340207&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.28
208,Seiceiveiba,Riria,Riria Territory,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,1766,-24.77,87.19,81,,,,,plaza,,,https://watabou.github.io/city-generator?name=Seiceiveiba&population=1766&size=16&seed=6656582340208&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
209,Cajasarci,Moyoyoli,Moyoyoli Margrave,Tanilmia,Duchy of Tanilmia,Astellian,Astellian Spirits,9987,-40.63,-45.25,196,,,,,,,,https://watabou.github.io/city-generator?name=Cajasarci&population=9987&size=31&seed=6656582340209&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
210,Antskog,Pohmarina,Pohmarina County,Torvia,Torvian Empire,Soumi,Soumi Deities,1739,50.81,-77.14,36,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Antskog&population=1739&size=16&seed=6656582340210&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
211,Hautengen,Bieninwia,Bieninwia Earldom,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1749,22.6,92.99,25,,,,walls,plaza,,,https://watabou.github.io/city-generator?name=Hautengen&population=1749&size=16&seed=6656582340211&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
212,Sambasoianel,Rivia,Rivia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,6404,18.82,-31.65,400,,,citadel,,,,,https://watabou.github.io/city-generator?name=Sambasoianel&population=6404&size=26&seed=6656582340212&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
213,Montefiglia,Cotritavia,Cotritavia Landgrave,Castricia,Castrician Empire,Tallian,Tallian Gods,1573,10.91,-35.26,196,,,citadel,,,,,https://watabou.github.io/city-generator?name=Montefiglia&population=1573&size=15&seed=6656582340213&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
214,Alburinhal,Curem,Curem Shire,Karlstat,Karlstatian Empire,Portuzian,Portuzian Beliefs,1700,2.64,101.04,1089,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Alburinhal&population=1700&size=16&seed=6656582340214&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
215,Torea,Lastesia,Lastesia County,Torta,Kingdom of Torta,Astellian,Astellian Spirits,8024,-3.65,-58.68,9,,,,,,,,https://watabou.github.io/city-generator?name=Torea&population=8024&size=28&seed=6656582340215&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
216,Tierrino,Embidrama,Embidrama Parish,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,11603,-6.02,-41.42,25,,,,walls,plaza,temple,,https://watabou.github.io/city-generator?name=Tierrino&population=11603&size=33&seed=6656582340216&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=0&gates=-1
217,Pioltti,Torvinia,Torvinia County,Flostia,Principality of Flostia,Soumi,Soumi Deities,7535,46.31,-92.09,81,,,,,,,,https://watabou.github.io/city-generator?name=Pioltti&population=7535&size=28&seed=6656582340217&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
218,Bagold,Blum,Blum Area,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,7046,27.27,99.11,16,,,citadel,,,,,https://watabou.github.io/city-generator?name=Bagold&population=7046&size=27&seed=6656582340218&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
219,Ponto,Ponto,Ponto County,Castricia,Castrician Empire,Tallian,Tallian Gods,42853,20.83,-45.07,4,,,,walls,plaza,temple,shanty town,https://watabou.github.io/city-generator?name=Ponto&population=42853&size=54&seed=6656582340219&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=1&shantytown=1&gates=-1
220,Vouraste,Teiragalia,Teiragalia County,Ardon,Kingdom of Ardon,Portuzian,Portuzian Beliefs,7366,12.76,91.75,25,,,,,plaza,,,https://watabou.github.io/city-generator?name=Vouraste&population=7366&size=28&seed=6656582340220&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
221,Vallana,Miruesia,Miruesia Deanery,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,2084,-7.01,-36.3,144,,,,,plaza,temple,,https://watabou.github.io/city-generator?name=Vallana&population=2084&size=17&seed=6656582340221&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=1&walls=0&shantytown=0&gates=-1
222,Escres,Huis,Huis Landgrave,Chaus,Grand Duchy of Chaus,Luari,Luari Shamanism,1802,-17.03,33.29,36,,,citadel,,,,,https://watabou.github.io/city-generator?name=Escres&population=1802&size=16&seed=6656582340222&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1
223,Hiloeches,Nurilaga,Nurilaga Region,Anzia,Grand Duchy of Anzia,Astellian,Astellian Spirits,1545,-23.94,-22.45,625,,,,,plaza,,,https://watabou.github.io/city-generator?name=Hiloeches&population=1545&size=15&seed=6656582340223&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
224,Alcadolis,Arazam,Arazam Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,5442,-24.23,68.61,16,,,citadel,walls,plaza,,,https://watabou.github.io/city-generator?name=Alcadolis&population=5442&size=25&seed=6656582340224&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=1&shantytown=0&gates=-1
225,Cardinhas,Afandania,Afandania Province,Chueles,Chuelesian Oligarchy,Portuzian,Portuzian Beliefs,2623,-25.19,82.26,4,,port,,,,,,https://watabou.github.io/city-generator?name=Cardinhas&population=2623&size=19&seed=6656582340225&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=0&walls=0&shantytown=0&gates=-1&sea=0.66
226,Nesengen,Stein,Stein Margrave,Karlstat,Karlstatian Empire,Shwazen,Shwazen Faith,1678,-27.03,98.79,25,,,citadel,walls,,,,https://watabou.github.io/city-generator?name=Nesengen&population=1678&size=16&seed=6656582340226&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=0&temple=0&walls=1&shantytown=0&gates=-1
227,Lympston,Craftford,Craftford Parish,Chichet,Chichetian Theocracy,Angshire,Angshire Spirits,1784,25.52,-130.15,81,,,,,,temple,,https://watabou.github.io/city-generator?name=Lympston&population=1784&size=16&seed=6656582340227&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
228,Huetvilles,Morcia,Morcia County,Ardon,Kingdom of Ardon,Luari,Luari Shamanism,10103,16.4,57.94,16,,,citadel,,plaza,,,https://watabou.github.io/city-generator?name=Huetvilles&population=10103&size=31&seed=6656582340228&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=false&plaza=1&temple=0&walls=0&shantytown=0&gates=-1
229,Cesolias,Miruesia,Miruesia Deanery,Candejia,Divine Grand Duchy of Candejia,Astellian,Pelosian Gods,5246,-5.55,-37.19,4,,,citadel,,,temple,,https://watabou.github.io/city-generator?name=Cesolias&population=5246&size=24&seed=6656582340229&river=1&coast=0&farms=0&citadel=1&urban_castle=0&hub=false&plaza=0&temple=1&walls=0&shantytown=0&gates=-1
